seed,frac_overlap,transfer_asr,normal_asr
0,0.0,0.74,0.94
0,0.0,0.9,0.74
0,0.2,0.8,0.86
0,0.2,0.84,0.72
0,0.4,0.92,0.88
0,0.4,0.8,0.92
0,0.6,0.76,0.68
0,0.6,0.76,0.8
0,0.8,0.9,0.9
0,0.8,0.8,0.82
0,1.0,0.96,0.88
0,1.0,0.98,0.88
1,0.0,0.92,0.86
1,0.0,0.98,0.88
1,0.2,0.84,0.98
1,0.2,0.84,0.86
1,0.4,0.82,0.82
1,0.4,0.78,0.78
1,0.6,0.66,0.68
1,0.6,0.76,0.7
1,0.8,0.86,0.7
1,0.8,0.8,0.76
1,1.0,0.76,0.76
1,1.0,0.8,0.74
2,0.0,0.78,0.74
2,0.0,0.62,0.76
2,0.2,0.7,0.92
2,0.2,0.92,0.7
2,0.4,0.82,0.78
2,0.4,0.78,0.84
2,0.6,0.9,0.88
2,0.6,0.9,0.94
2,0.8,0.68,0.8
2,0.8,0.72,0.86
2,1.0,0.92,0.88
2,1.0,0.86,0.94
3,0.0,0.64,0.76
3,0.0,0.64,0.6
3,0.2,0.82,0.86
3,0.2,0.78,0.76
3,0.4,0.7,0.7
3,0.4,0.62,0.7
3,0.6,0.92,0.94
3,0.6,0.84,0.82
3,0.8,0.78,0.78
3,0.8,0.88,0.9
3,1.0,0.66,0.76
3,1.0,0.6,0.68
