seed,metric,frac_overlap,metric_common,metric_OOD_for_one,metric_OOD_for_all
0,cycle_knn,0.0,-1.000000,0.840800,-1.000000
0,mutual_knn,0.0,-1.000000,0.699700,-1.000000
0,lcs_knn,0.0,-1.000000,1.254000,-1.000000
0,cka,0.0,-1.000000,0.901345,-1.000000
0,unbiased_cka,0.0,-1.000000,0.901146,-1.000000
0,cknna,0.0,-1.000000,0.777216,-1.000000
0,svcca,0.0,-1.000000,0.836121,-1.000000
0,edit_distance_knn,0.0,-1.000000,0.830300,-1.000000
0,cycle_knn,0.33333,0.999800,0.818400,0.856200
0,mutual_knn,0.33333,0.981500,0.671360,0.572840
0,lcs_knn,0.33333,2.283000,1.186400,0.963000
0,cka,0.33333,0.999354,0.979719,0.939135
0,unbiased_cka,0.33333,0.999215,0.979701,0.936907
0,cknna,0.33333,0.984686,0.786529,0.603409
0,svcca,0.33333,0.852233,0.797131,0.826615
0,edit_distance_knn,0.33333,0.962840,0.822620,0.798360
0,cycle_knn,0.66666,0.999800,0.783800,0.820600
0,mutual_knn,0.66666,0.979480,0.554160,0.600940
0,lcs_knn,0.66666,2.275800,0.889400,1.006000
0,cka,0.66666,0.999920,0.971707,0.972830
0,unbiased_cka,0.66666,0.999909,0.971649,0.972657
0,cknna,0.66666,0.981888,0.554405,0.599375
0,svcca,0.66666,0.888618,0.756515,0.783611
0,edit_distance_knn,0.66666,0.961840,0.790840,0.800760
0,cycle_knn,1.0,0.953000,-1.000000,0.784600
0,mutual_knn,1.0,0.969400,-1.000000,0.855800
0,lcs_knn,1.0,2.179600,-1.000000,1.545200
0,cka,1.0,0.999939,-1.000000,0.998034
0,unbiased_cka,1.0,0.999925,-1.000000,0.997904
0,cknna,1.0,0.977155,-1.000000,0.844356
0,svcca,1.0,0.873284,-1.000000,0.841277
0,edit_distance_knn,1.0,0.947580,-1.000000,0.859020
1,cycle_knn,0.0,-1.000000,0.844000,-1.000000
1,mutual_knn,0.0,-1.000000,0.772520,-1.000000
1,lcs_knn,0.0,-1.000000,1.405000,-1.000000
1,cka,0.0,-1.000000,0.867617,-1.000000
1,unbiased_cka,0.0,-1.000000,0.867355,-1.000000
1,cknna,0.0,-1.000000,0.814812,-1.000000
1,svcca,0.0,-1.000000,0.803282,-1.000000
1,edit_distance_knn,0.0,-1.000000,0.846060,-1.000000
1,cycle_knn,0.33333,0.999400,0.821200,0.841200
1,mutual_knn,0.33333,0.973800,0.799080,0.874480
1,lcs_knn,0.33333,2.214400,1.472200,1.581200
1,cka,0.33333,0.998814,0.851159,0.996721
1,unbiased_cka,0.33333,0.998504,0.850797,0.995880
1,cknna,0.33333,0.973631,0.814314,0.861332
1,svcca,0.33333,0.872778,0.841555,0.841461
1,edit_distance_knn,0.33333,0.951280,0.854580,0.863160
1,cycle_knn,0.66666,0.918400,0.741600,0.915000
1,mutual_knn,0.66666,0.944160,0.870120,0.939940
1,lcs_knn,0.66666,1.975600,1.594000,1.982200
1,cka,0.66666,0.999943,0.990170,0.999222
1,unbiased_cka,0.66666,0.999933,0.989426,0.999153
1,cknna,0.66666,0.958242,0.865417,0.957233
1,svcca,0.66666,0.853266,0.883223,0.839257
1,edit_distance_knn,0.66666,0.917160,0.865620,0.918980
1,cycle_knn,1.0,0.887600,-1.000000,0.860600
1,mutual_knn,1.0,0.950080,-1.000000,0.957520
1,lcs_knn,1.0,2.002800,-1.000000,2.061400
1,cka,1.0,0.999874,-1.000000,0.999700
1,unbiased_cka,1.0,0.999858,-1.000000,0.999589
1,cknna,1.0,0.957408,-1.000000,0.966576
1,svcca,1.0,0.907900,-1.000000,0.815109
1,edit_distance_knn,1.0,0.921400,-1.000000,0.928940
2,cycle_knn,0.0,-1.000000,0.835200,-1.000000
2,mutual_knn,0.0,-1.000000,0.726640,-1.000000
2,lcs_knn,0.0,-1.000000,1.313200,-1.000000
2,cka,0.0,-1.000000,0.925483,-1.000000
2,unbiased_cka,0.0,-1.000000,0.925432,-1.000000
2,cknna,0.0,-1.000000,0.805285,-1.000000
2,svcca,0.0,-1.000000,0.839730,-1.000000
2,edit_distance_knn,0.0,-1.000000,0.836300,-1.000000
2,cycle_knn,0.33333,1.000000,0.859800,0.756000
2,mutual_knn,0.33333,0.973700,0.683200,0.585140
2,lcs_knn,0.33333,2.187000,1.182000,0.970800
2,cka,0.33333,0.998531,0.883736,0.938841
2,unbiased_cka,0.33333,0.998030,0.883517,0.936550
2,cknna,0.33333,0.973651,0.744330,0.636663
2,svcca,0.33333,0.869576,0.834496,0.815687
2,edit_distance_knn,0.33333,0.946720,0.821260,0.799300
2,cycle_knn,0.66666,0.926000,0.922400,0.714000
2,mutual_knn,0.66666,0.925280,0.752260,0.618560
2,lcs_knn,0.66666,1.913800,1.413800,1.025200
2,cka,0.66666,0.999911,0.991274,0.952463
2,unbiased_cka,0.66666,0.999900,0.991224,0.951020
2,cknna,0.66666,0.946991,0.837354,0.636008
2,svcca,0.66666,0.905504,0.836901,0.793389
2,edit_distance_knn,0.66666,0.910160,0.848320,0.803000
2,cycle_knn,1.0,0.898000,-1.000000,0.791200
2,mutual_knn,1.0,0.943740,-1.000000,0.919840
2,lcs_knn,1.0,1.961000,-1.000000,1.865000
2,cka,1.0,0.999905,-1.000000,0.999096
2,unbiased_cka,1.0,0.999892,-1.000000,0.998832
2,cknna,1.0,0.954130,-1.000000,0.945931
2,svcca,1.0,0.901493,-1.000000,0.851533
2,edit_distance_knn,1.0,0.915060,-1.000000,0.902740
3,cycle_knn,0.0,-1.000000,0.856800,-1.000000
3,mutual_knn,0.0,-1.000000,0.792600,-1.000000
3,lcs_knn,0.0,-1.000000,1.450200,-1.000000
3,cka,0.0,-1.000000,0.875774,-1.000000
3,unbiased_cka,0.0,-1.000000,0.875597,-1.000000
3,cknna,0.0,-1.000000,0.830823,-1.000000
3,svcca,0.0,-1.000000,0.833757,-1.000000
3,edit_distance_knn,0.0,-1.000000,0.850260,-1.000000
3,cycle_knn,0.33333,0.794000,0.902000,0.834800
3,mutual_knn,0.33333,0.874240,0.813620,0.874420
3,lcs_knn,0.33333,1.614400,1.534400,1.570200
3,cka,0.33333,0.996335,0.942196,0.996312
3,unbiased_cka,0.33333,0.994721,0.942183,0.995474
3,cknna,0.33333,0.882590,0.859490,0.869283
3,svcca,0.33333,0.834716,0.860453,0.794397
3,edit_distance_knn,0.33333,0.868720,0.861420,0.862160
