seed,frac_overlap,transfer_asr,normal_asr
0,0.0,0.96,0.92
0,0.0,0.94,0.96
0,0.33333,0.88,0.88
0,0.33333,0.96,0.96
0,0.66666,0.98,0.94
0,0.66666,0.92,1.0
0,1.0,0.94,0.92
0,1.0,0.9,1.0
1,0.0,0.96,1.0
1,0.0,0.84,0.98
1,0.33333,1.0,0.98
1,0.33333,0.92,0.84
1,0.66666,0.98,0.98
1,0.66666,1.0,0.98
1,1.0,0.98,0.96
1,1.0,1.0,0.98
2,0.0,0.92,0.92
2,0.0,0.96,1.0
2,0.33333,0.96,0.88
2,0.33333,0.98,0.98
2,0.66666,0.98,0.9
2,0.66666,0.98,0.96
2,1.0,0.96,1.0
2,1.0,0.92,0.88
3,0.0,0.84,0.84
3,0.0,0.98,0.94
3,0.33333,0.92,0.84
3,0.33333,1.0,1.0
3,0.66666,0.94,0.92
3,0.66666,0.98,0.96
3,1.0,0.96,0.96
3,1.0,0.9,0.96
