seed,metric,frac_overlap,metric_common,metric_OOD_for_one,metric_OOD_for_all
0,cycle_knn,0.0,-1.000000,0.816600,-1.000000
0,mutual_knn,0.0,-1.000000,0.722560,-1.000000
0,lcs_knn,0.0,-1.000000,1.261800,-1.000000
0,cka,0.0,-1.000000,0.844315,-1.000000
0,unbiased_cka,0.0,-1.000000,0.844116,-1.000000
0,cknna,0.0,-1.000000,0.785308,-1.000000
0,svcca,0.0,-1.000000,0.826147,-1.000000
0,edit_distance_knn,0.0,-1.000000,0.829720,-1.000000
0,cycle_knn,0.33333,0.999600,0.771600,0.864600
0,mutual_knn,0.33333,0.979700,0.715200,0.659900
0,lcs_knn,0.33333,2.264800,1.225400,1.103400
0,cka,0.33333,0.998995,0.981059,0.971565
0,unbiased_cka,0.33333,0.998557,0.981068,0.962577
0,cknna,0.33333,0.982789,0.805772,0.687082
0,svcca,0.33333,0.862246,0.837174,0.835080
0,edit_distance_knn,0.33333,0.959740,0.823860,0.812860
0,cycle_knn,0.66666,0.999800,0.750800,0.793200
0,mutual_knn,0.66666,0.971120,0.614980,0.718040
0,lcs_knn,0.66666,2.182600,0.994600,1.196200
0,cka,0.66666,0.999774,0.961378,0.995557
0,unbiased_cka,0.66666,0.999758,0.961335,0.995305
0,cknna,0.66666,0.973168,0.591625,0.716083
0,svcca,0.66666,0.837436,0.781268,0.843241
0,edit_distance_knn,0.66666,0.946700,0.799300,0.819900
0,cycle_knn,1.0,0.943000,-1.000000,0.750000
0,mutual_knn,1.0,0.963360,-1.000000,0.900620
0,lcs_knn,1.0,2.133200,-1.000000,1.691000
0,cka,1.0,0.999822,-1.000000,0.999748
0,unbiased_cka,1.0,0.999804,-1.000000,0.999440
0,cknna,1.0,0.970287,-1.000000,0.881648
0,svcca,1.0,0.847653,-1.000000,0.848885
0,edit_distance_knn,1.0,0.940480,-1.000000,0.877440
1,cycle_knn,0.0,-1.000000,0.817800,-1.000000
1,mutual_knn,0.0,-1.000000,0.787180,-1.000000
1,lcs_knn,0.0,-1.000000,1.406400,-1.000000
1,cka,0.0,-1.000000,0.730229,-1.000000
1,unbiased_cka,0.0,-1.000000,0.729978,-1.000000
1,cknna,0.0,-1.000000,0.823815,-1.000000
1,svcca,0.0,-1.000000,0.804081,-1.000000
1,edit_distance_knn,0.0,-1.000000,0.844820,-1.000000
1,cycle_knn,0.33333,0.998200,0.780800,0.713400
1,mutual_knn,0.33333,0.947420,0.804600,0.881120
1,lcs_knn,0.33333,1.967000,1.443600,1.600000
1,cka,0.33333,0.992129,0.787936,0.997300
1,unbiased_cka,0.33333,0.990796,0.787495,0.995763
1,cknna,0.33333,0.945035,0.809921,0.868890
