seed,frac_overlap,transfer_asr,normal_asr
0,0.0,0.9,1.0
0,0.0,0.9,0.9
0,0.33333,0.98,0.88
0,0.33333,0.86,0.92
0,0.66666,0.92,0.92
0,0.66666,0.7,0.68
0,1.0,0.98,0.92
0,1.0,0.88,0.94
1,0.0,0.92,0.94
1,0.0,0.84,0.84
1,0.33333,0.84,0.96
1,0.33333,0.9,0.92
1,0.66666,0.98,0.96
1,0.66666,0.82,0.78
1,1.0,0.9,0.96
1,1.0,0.92,0.98
2,0.0,0.96,0.96
2,0.0,0.9,0.94
2,0.33333,0.94,0.96
2,0.33333,0.8,0.98
2,0.66666,0.92,0.96
2,0.66666,0.96,1.0
2,1.0,0.9,1.0
2,1.0,1.0,0.94
3,0.0,0.72,0.72
3,0.0,0.92,0.96
3,0.33333,0.78,0.7
3,0.33333,0.9,0.92
3,0.66666,0.7,0.7
3,0.66666,0.88,0.84
3,1.0,0.68,0.76
3,1.0,0.8,0.76
