seed,metric,frac_overlap,metric_common,metric_OOD_for_one,metric_OOD_for_all
0,cycle_knn,0.3333333333333333,0.717707,0.679219,0.404195
0,mutual_knn,0.3333333333333333,0.173824,0.307878,0.069766
0,lcs_knn,0.3333333333333333,0.358732,0.585463,0.158195
0,cka,0.3333333333333333,0.770212,0.858912,0.647255
0,unbiased_cka,0.3333333333333333,0.770089,0.858846,0.646957
0,cknna,0.3333333333333333,0.223870,0.449637,0.099433
0,svcca,0.3333333333333333,0.701060,0.680428,0.613267
0,edit_distance_knn,0.3333333333333333,0.765941,0.783317,0.756298
0,cycle_knn,1.0,0.924390,-1.000000,0.901415
0,mutual_knn,1.0,0.666190,-1.000000,0.657654
0,lcs_knn,1.0,1.083951,-1.000000,1.182732
0,cka,1.0,0.989547,-1.000000,0.991979
0,unbiased_cka,1.0,0.989511,-1.000000,0.991957
0,cknna,1.0,0.680234,-1.000000,0.764092
0,svcca,1.0,0.831798,-1.000000,0.848107
0,edit_distance_knn,1.0,0.807688,-1.000000,0.824171
0,cycle_knn,0.6666666666666666,0.945512,0.687512,0.938000
0,mutual_knn,0.6666666666666666,0.669990,0.222376,0.739176
0,lcs_knn,0.6666666666666666,1.106634,0.412000,1.371561
0,cka,0.6666666666666666,0.977780,0.984331,0.992713
0,unbiased_cka,0.6666666666666666,0.977704,0.984329,0.992690
0,cknna,0.6666666666666666,0.699055,0.235496,0.841804
0,svcca,0.6666666666666666,0.856294,0.671525,0.806310
0,edit_distance_knn,0.6666666666666666,0.811024,0.762171,0.844107
0,cycle_knn,0.0,-1.000000,0.672488,-1.000000
0,mutual_knn,0.0,-1.000000,0.247444,-1.000000
0,lcs_knn,0.0,-1.000000,0.478439,-1.000000
0,cka,0.0,-1.000000,0.811990,-1.000000
0,unbiased_cka,0.0,-1.000000,0.811939,-1.000000
0,cknna,0.0,-1.000000,0.335113,-1.000000
0,svcca,0.0,-1.000000,0.756226,-1.000000
0,edit_distance_knn,0.0,-1.000000,0.772639,-1.000000
1,cycle_knn,0.3333333333333333,0.865073,0.761805,0.514634
1,mutual_knn,0.3333333333333333,0.308166,0.329985,0.126176
1,lcs_knn,0.3333333333333333,0.594781,0.634488,0.258244
1,cka,0.3333333333333333,0.880363,0.918165,0.760854
1,unbiased_cka,0.3333333333333333,0.880287,0.918158,0.759940
1,cknna,0.3333333333333333,0.396650,0.464141,0.135699
1,svcca,0.3333333333333333,0.800628,0.750217,0.707847
