seed,metric,frac_overlap,metric_shakespeare,metric_tinystories,metric_wikitext
0,cycle_knn,0.6,1.000000,0.540732,0.999317
0,mutual_knn,0.6,0.860902,0.136971,0.722322
0,lcs_knn,0.6,1.557805,0.279317,1.319902
0,cka,0.6,0.836197,0.862466,0.853415
0,unbiased_cka,0.6,0.836024,0.861884,0.851728
0,cknna,0.6,0.866089,0.128667,0.801040
0,svcca,0.6,0.711249,0.729488,0.718083
0,edit_distance_knn,0.6,0.859229,0.757410,0.840166
0,cycle_knn,0.2,1.000000,0.488195,0.999561
0,mutual_knn,0.2,0.854351,0.111327,0.767210
0,lcs_knn,0.2,1.548976,0.230390,1.387610
0,cka,0.2,0.778777,0.842002,0.847364
0,unbiased_cka,0.2,0.778544,0.841504,0.845841
0,cknna,0.2,0.858578,0.112014,0.830217
0,svcca,0.2,0.660544,0.733146,0.737073
0,edit_distance_knn,0.2,0.858015,0.756112,0.844937
0,cycle_knn,1.0,0.999805,0.582585,0.998878
0,mutual_knn,1.0,0.870610,0.156917,0.731063
0,lcs_knn,1.0,1.586098,0.305171,1.318878
0,cka,1.0,0.849348,0.839110,0.825761
0,unbiased_cka,1.0,0.849192,0.838528,0.824112
0,cknna,1.0,0.873486,0.150089,0.808306
0,svcca,1.0,0.792764,0.751542,0.691783
0,edit_distance_knn,1.0,0.862888,0.758254,0.839722
0,cycle_knn,0.4,1.000000,0.506000,0.999415
0,mutual_knn,0.4,0.858493,0.125488,0.759785
0,lcs_knn,0.4,1.552585,0.252683,1.385659
0,cka,0.4,0.791657,0.822189,0.892191
0,unbiased_cka,0.4,0.791445,0.821667,0.890451
0,cknna,0.4,0.862256,0.123359,0.826776
0,svcca,0.4,0.706181,0.721719,0.718976
0,edit_distance_knn,0.4,0.858385,0.756473,0.844502
0,cycle_knn,0.8,0.999951,0.555171,0.998732
0,mutual_knn,0.8,0.867893,0.141585,0.730107
0,lcs_knn,0.8,1.582927,0.280146,1.330488
0,cka,0.8,0.854112,0.833780,0.727568
0,unbiased_cka,0.8,0.853949,0.833184,0.726696
0,cknna,0.8,0.872322,0.133692,0.810048
0,svcca,0.8,0.720340,0.760984,0.735126
0,edit_distance_knn,0.8,0.862639,0.757317,0.840878
0,cycle_knn,0.0,0.999951,0.472195,0.998927
0,mutual_knn,0.0,0.846512,0.102488,0.719337
0,lcs_knn,0.0,1.512781,0.218098,1.305610
0,cka,0.0,0.819426,0.806877,0.813369
0,unbiased_cka,0.0,0.819255,0.806014,0.812129
0,cknna,0.0,0.851289,0.100526,0.801140
0,svcca,0.0,0.715032,0.707525,0.681255
0,edit_distance_knn,0.0,0.853839,0.755727,0.837976
1,cycle_knn,0.6,0.999951,0.535366,0.999268
1,mutual_knn,0.6,0.860229,0.134410,0.743971
1,lcs_knn,0.6,1.549024,0.268927,1.351415
1,cka,0.6,0.837524,0.815464,0.842074
1,unbiased_cka,0.6,0.837327,0.814783,0.840964
1,cknna,0.6,0.863041,0.125190,0.818176
1,svcca,0.6,0.707278,0.734379,0.692881
1,edit_distance_knn,0.6,0.858576,0.756917,0.841976
1,cycle_knn,0.2,0.999854,0.478537,0.998927
1,mutual_knn,0.2,0.849463,0.107498,0.729166
1,lcs_knn,0.2,1.531317,0.226537,1.320488
1,cka,0.2,0.788361,0.771481,0.847215
1,unbiased_cka,0.2,0.788168,0.770774,0.846026
1,cknna,0.2,0.855294,0.105878,0.806924
1,svcca,0.2,0.697337,0.752194,0.667276
1,edit_distance_knn,0.2,0.855912,0.756176,0.838698
1,cycle_knn,1.0,0.999902,0.549951,0.998244
1,mutual_knn,1.0,0.865351,0.147366,0.705902
1,lcs_knn,1.0,1.569854,0.290098,1.278000
1,cka,1.0,0.856584,0.813780,0.856198
1,unbiased_cka,1.0,0.856412,0.813004,0.854563
1,cknna,1.0,0.871093,0.139996,0.790967
1,svcca,1.0,0.760625,0.746064,0.652440
1,edit_distance_knn,1.0,0.860834,0.757707,0.834980
1,cycle_knn,0.4,0.999854,0.493854,0.999122
1,mutual_knn,0.4,0.850137,0.116590,0.751751
1,lcs_knn,0.4,1.521122,0.241756,1.366049
1,cka,0.4,0.798025,0.815468,0.810027
1,unbiased_cka,0.4,0.797826,0.814836,0.808247
1,cknna,0.4,0.856830,0.112345,0.821972
1,svcca,0.4,0.676554,0.734976,0.696662
1,edit_distance_knn,0.4,0.855317,0.756312,0.843610
1,cycle_knn,0.8,0.999902,0.510439,0.998293
1,mutual_knn,0.8,0.855058,0.122644,0.677024
1,lcs_knn,0.8,1.546341,0.248439,1.214829
1,cka,0.8,0.879268,0.828392,0.869953
1,unbiased_cka,0.8,0.879115,0.827629,0.868563
1,cknna,0.8,0.862108,0.113858,0.765810
1,svcca,0.8,0.781225,0.759593,0.652372
1,edit_distance_knn,0.8,0.857795,0.756337,0.829200
1,cycle_knn,0.0,0.999902,0.453707,0.998878
1,mutual_knn,0.0,0.852332,0.101956,0.711346
1,lcs_knn,0.0,1.530000,0.213317,1.270098
1,cka,0.0,0.805944,0.749633,0.808957
1,unbiased_cka,0.0,0.805770,0.748724,0.807242
1,cknna,0.0,0.856930,0.100927,0.788957
1,svcca,0.0,0.708198,0.714862,0.656950
1,edit_distance_knn,0.0,0.856376,0.755815,0.834078
2,cycle_knn,0.6,0.999902,0.503854,0.999659
2,mutual_knn,0.6,0.855581,0.118059,0.738790
2,lcs_knn,0.6,1.541854,0.238293,1.325220
2,cka,0.6,0.827358,0.811754,0.767792
2,unbiased_cka,0.6,0.827164,0.811021,0.765783
2,cknna,0.6,0.859261,0.114253,0.810581
2,svcca,0.6,0.743202,0.776399,0.683405
2,edit_distance_knn,0.6,0.857224,0.756371,0.838693
2,cycle_knn,0.2,0.999902,0.451268,0.998634
2,mutual_knn,0.2,0.849449,0.101088,0.687439
2,lcs_knn,0.2,1.533512,0.209317,1.235366
2,cka,0.2,0.780300,0.778739,0.634209
2,unbiased_cka,0.2,0.780099,0.778044,0.632255
2,cknna,0.2,0.855082,0.101643,0.770956
2,svcca,0.2,0.680402,0.703666,0.646870
2,edit_distance_knn,0.2,0.857112,0.755771,0.830210
2,cycle_knn,1.0,0.999805,0.609707,0.999219
2,mutual_knn,1.0,0.864717,0.166712,0.733439
2,lcs_knn,1.0,1.575366,0.323317,1.324146
2,cka,1.0,0.889744,0.831104,0.794048
2,unbiased_cka,1.0,0.889616,0.830421,0.791900
2,cknna,1.0,0.869761,0.155682,0.803032
2,svcca,1.0,0.777485,0.764621,0.715124
2,edit_distance_knn,1.0,0.862268,0.758190,0.839322
2,cycle_knn,0.4,0.999854,0.532244,0.999024
2,mutual_knn,0.4,0.852893,0.126790,0.724122
2,lcs_knn,0.4,1.545805,0.258049,1.304244
2,cka,0.4,0.824620,0.860567,0.780689
2,unbiased_cka,0.4,0.824442,0.859941,0.778853
2,cknna,0.4,0.859143,0.117274,0.799667
2,svcca,0.4,0.746584,0.748938,0.677509
2,edit_distance_knn,0.4,0.858015,0.756634,0.836917
2,cycle_knn,0.8,0.999854,0.579463,0.998829
2,mutual_knn,0.8,0.869995,0.154224,0.724751
2,lcs_knn,0.8,1.577024,0.305268,1.318878
2,cka,0.8,0.878211,0.855963,0.884966
2,unbiased_cka,0.8,0.878056,0.855201,0.882718
2,cknna,0.8,0.873073,0.138444,0.801892
2,svcca,0.8,0.799852,0.772071,0.730786
2,edit_distance_knn,0.8,0.861693,0.757727,0.839107
2,cycle_knn,0.0,0.999854,0.433122,0.998146
2,mutual_knn,0.0,0.848659,0.087727,0.672151
2,lcs_knn,0.0,1.521122,0.188293,1.212244
2,cka,0.0,0.822013,0.779842,0.737240
2,unbiased_cka,0.0,0.821853,0.779146,0.734940
2,cknna,0.0,0.854193,0.086733,0.761582
2,svcca,0.0,0.704691,0.666280,0.650169
2,edit_distance_knn,0.0,0.855132,0.754912,0.829093
3,cycle_knn,0.6,0.999902,0.494195,0.999024
3,mutual_knn,0.6,0.858517,0.121278,0.746112
3,lcs_knn,0.6,1.554488,0.248634,1.333659
3,cka,0.6,0.780863,0.783107,0.875196
3,unbiased_cka,0.6,0.780640,0.782137,0.873904
3,cknna,0.6,0.864499,0.119955,0.814934
3,svcca,0.6,0.677860,0.723816,0.695734
3,edit_distance_knn,0.6,0.859385,0.756629,0.839278
3,cycle_knn,0.2,0.999902,0.477317,0.999171
3,mutual_knn,0.2,0.849590,0.108273,0.716415
3,lcs_knn,0.2,1.530732,0.228537,1.289951
3,cka,0.2,0.811802,0.786246,0.786492
3,unbiased_cka,0.2,0.811627,0.785337,0.783870
3,cknna,0.2,0.855247,0.101766,0.796533
3,svcca,0.2,0.723771,0.712930,0.661476
3,edit_distance_knn,0.2,0.856317,0.755859,0.835922
3,cycle_knn,1.0,0.999902,0.581219,0.999073
3,mutual_knn,1.0,0.866088,0.161102,0.734498
3,lcs_knn,1.0,1.583854,0.313902,1.332829
3,cka,1.0,0.878463,0.842074,0.860575
3,unbiased_cka,1.0,0.878315,0.841040,0.858779
3,cknna,1.0,0.870980,0.148692,0.809614
3,svcca,1.0,0.753080,0.776432,0.738963
3,edit_distance_knn,1.0,0.863054,0.758488,0.839541
3,cycle_knn,0.4,0.999805,0.504244,0.999463
3,mutual_knn,0.4,0.858259,0.122561,0.759498
3,lcs_knn,0.4,1.550098,0.250146,1.372439
3,cka,0.4,0.798699,0.821240,0.889991
3,unbiased_cka,0.4,0.798501,0.820464,0.888389
3,cknna,0.4,0.862375,0.119853,0.825707
3,svcca,0.4,0.724683,0.736977,0.739127
3,edit_distance_knn,0.4,0.858800,0.756932,0.843824
3,cycle_knn,0.8,0.999805,0.558049,0.999512
3,mutual_knn,0.8,0.866400,0.143746,0.759668
3,lcs_knn,0.8,1.579561,0.287073,1.395171
3,cka,0.8,0.872922,0.827801,0.830288
3,unbiased_cka,0.8,0.872758,0.826816,0.828657
3,cknna,0.8,0.870688,0.136161,0.827235
3,svcca,0.8,0.749094,0.748772,0.733706
3,edit_distance_knn,0.8,0.862707,0.757210,0.846941
3,cycle_knn,0.0,0.999951,0.473024,0.997463
3,mutual_knn,0.0,0.847624,0.101556,0.656356
3,lcs_knn,0.0,1.518341,0.216146,1.182390
3,cka,0.0,0.841614,0.773510,0.767448
3,unbiased_cka,0.0,0.841466,0.772416,0.765198
3,cknna,0.0,0.855104,0.097187,0.753693
3,svcca,0.0,0.736552,0.744666,0.658110
3,edit_distance_knn,0.0,0.854941,0.755454,0.826415
4,cycle_knn,0.6,0.999902,0.491317,0.999415
4,mutual_knn,0.6,0.859210,0.117932,0.744717
4,lcs_knn,0.6,1.561512,0.241220,1.348049
4,cka,0.6,0.831471,0.818391,0.831718
4,unbiased_cka,0.6,0.831304,0.817470,0.830394
4,cknna,0.6,0.864197,0.114860,0.818540
4,svcca,0.6,0.729681,0.736099,0.712257
4,edit_distance_knn,0.6,0.859902,0.756424,0.841741
4,cycle_knn,0.2,0.999854,0.464976,0.999415
4,mutual_knn,0.2,0.852068,0.104980,0.744863
4,lcs_knn,0.2,1.529707,0.214927,1.329951
4,cka,0.2,0.803127,0.789816,0.738267
4,unbiased_cka,0.2,0.802935,0.789172,0.737030
4,cknna,0.2,0.855431,0.102996,0.811291
4,svcca,0.2,0.718530,0.689411,0.696894
4,edit_distance_knn,0.2,0.856010,0.755976,0.839346
4,cycle_knn,1.0,0.999854,0.580341,0.998878
4,mutual_knn,1.0,0.869239,0.157878,0.730366
4,lcs_knn,1.0,1.589707,0.310829,1.323122
4,cka,1.0,0.885623,0.829781,0.814535
4,unbiased_cka,1.0,0.885491,0.829046,0.813409
4,cknna,1.0,0.875453,0.149408,0.806829
4,svcca,1.0,0.783993,0.761735,0.736578
4,edit_distance_knn,1.0,0.863498,0.758307,0.839473
4,cycle_knn,0.4,0.999951,0.510293,0.999317
4,mutual_knn,0.4,0.854580,0.121088,0.730429
4,lcs_knn,0.4,1.531756,0.246390,1.329268
4,cka,0.4,0.847295,0.834216,0.806323
4,unbiased_cka,0.4,0.847140,0.833459,0.805340
4,cknna,0.4,0.860455,0.114537,0.804013
4,svcca,0.4,0.723031,0.737505,0.701137
4,edit_distance_knn,0.4,0.856400,0.756444,0.839439
4,cycle_knn,0.8,0.999951,0.492537,0.998634
4,mutual_knn,0.8,0.856507,0.117439,0.704634
4,lcs_knn,0.8,1.549268,0.240585,1.273073
4,cka,0.8,0.850990,0.817475,0.867303
4,unbiased_cka,0.8,0.850808,0.816376,0.865563
4,cknna,0.8,0.862569,0.109169,0.786975
4,svcca,0.8,0.744639,0.749027,0.684660
4,edit_distance_knn,0.8,0.858478,0.756054,0.834424
4,cycle_knn,0.0,0.999951,0.478976,0.998878
4,mutual_knn,0.0,0.850902,0.105707,0.716395
4,lcs_knn,0.0,1.528146,0.219171,1.288390
4,cka,0.0,0.806267,0.797079,0.769620
4,unbiased_cka,0.0,0.806082,0.796390,0.768442
4,cknna,0.0,0.857163,0.104287,0.792739
4,svcca,0.0,0.698146,0.718571,0.718900
4,edit_distance_knn,0.0,0.855712,0.755917,0.834898
5,cycle_knn,0.6,1.000000,0.474878,0.999219
5,mutual_knn,0.6,0.847512,0.107366,0.708668
5,lcs_knn,0.6,1.528829,0.224244,1.294488
5,cka,0.6,0.825539,0.817272,0.851987
5,unbiased_cka,0.6,0.825374,0.816292,0.850240
5,cknna,0.6,0.855052,0.102272,0.790919
5,svcca,0.6,0.733567,0.699829,0.710073
5,edit_distance_knn,0.6,0.856302,0.755868,0.836937
5,cycle_knn,0.2,0.999902,0.479024,0.997756
5,mutual_knn,0.2,0.855615,0.110849,0.681054
5,lcs_knn,0.2,1.540585,0.228829,1.227366
5,cka,0.2,0.824931,0.820425,0.830508
5,unbiased_cka,0.2,0.824758,0.819455,0.828389
5,cknna,0.2,0.861308,0.105899,0.770543
5,svcca,0.2,0.717408,0.732764,0.658585
5,edit_distance_knn,0.2,0.857512,0.755644,0.830395
