seed,metric,frac_overlap,metric_shakespeare,metric_tinystories,metric_wikitext
0,cycle_knn,0.6,0.999951,0.935268,0.999951
0,mutual_knn,0.6,0.922498,0.619863,0.908098
0,lcs_knn,0.6,1.885219,1.002780,1.808244
0,cka,0.6,0.883761,0.968831,0.937302
0,unbiased_cka,0.6,0.883164,0.968720,0.936899
0,cknna,0.6,0.924573,0.642041,0.917047
0,svcca,0.6,0.700277,0.796144,0.801464
0,edit_distance_knn,0.6,0.902985,0.800005,0.893380
0,cycle_knn,0.2,0.999902,0.935902,1.000000
0,mutual_knn,0.2,0.923317,0.620522,0.909493
0,lcs_knn,0.2,1.898049,0.999512,1.811463
0,cka,0.2,0.890538,0.966403,0.940877
0,unbiased_cka,0.2,0.890009,0.966290,0.940424
0,cknna,0.2,0.927093,0.641941,0.919555
0,svcca,0.2,0.714812,0.798980,0.811175
0,edit_distance_knn,0.2,0.904898,0.800254,0.893444
0,cycle_knn,1.0,0.999756,0.939317,0.999951
0,mutual_knn,1.0,0.925297,0.622395,0.907673
0,lcs_knn,1.0,1.894390,1.005902,1.799073
0,cka,1.0,0.898219,0.969164,0.932661
0,unbiased_cka,1.0,0.897695,0.969050,0.932209
0,cknna,1.0,0.927706,0.641677,0.917537
0,svcca,1.0,0.716274,0.841888,0.775381
0,edit_distance_knn,1.0,0.904468,0.800639,0.892234
0,cycle_knn,0.4,0.999854,0.937220,0.999854
0,mutual_knn,0.4,0.922093,0.619517,0.902888
0,lcs_knn,0.4,1.877512,0.998780,1.802098
0,cka,0.4,0.880437,0.966234,0.927255
0,unbiased_cka,0.4,0.879905,0.966119,0.926939
0,cknna,0.4,0.925127,0.639834,0.915886
0,svcca,0.4,0.720004,0.775030,0.817749
0,edit_distance_knn,0.4,0.901693,0.799820,0.892644
0,cycle_knn,0.8,1.000000,0.935512,0.999902
0,mutual_knn,0.8,0.922151,0.622088,0.906610
0,lcs_knn,0.8,1.889854,1.007366,1.804732
0,cka,0.8,0.895108,0.966293,0.934714
0,unbiased_cka,0.8,0.894534,0.966177,0.934281
0,cknna,0.8,0.925274,0.641580,0.917933
