seed,metric,frac_overlap,metric_overlap,metric_ood_all_mnist,metric_ood_all_svhn
0,cycle_knn,0.0,0.605700,0.738200,0.449063
0,mutual_knn,0.0,0.184310,0.215740,0.080351
0,lcs_knn,0.0,0.320100,0.380200,0.169868
0,cka,0.0,0.452848,0.687810,0.605213
0,unbiased_cka,0.0,0.447853,0.687422,0.604843
0,cknna,0.0,0.205331,0.212376,0.084266
0,svcca,0.0,0.406349,0.623035,0.596029
0,edit_distance_knn,0.0,0.757790,0.758770,0.753703
0,cycle_knn,0.7,0.651900,0.763500,0.497849
0,mutual_knn,0.7,0.217840,0.231080,0.100534
0,lcs_knn,0.7,0.371800,0.404900,0.212392
0,cka,0.7,0.526217,0.696888,0.697792
0,unbiased_cka,0.7,0.521898,0.696433,0.697477
0,cknna,0.7,0.242388,0.226500,0.104828
0,svcca,0.7,0.464185,0.675783,0.604658
0,edit_distance_knn,0.7,0.759210,0.759490,0.754913
0,cycle_knn,0.9,0.685000,0.781800,0.498271
0,mutual_knn,0.9,0.236840,0.246450,0.099466
0,lcs_knn,0.9,0.400500,0.425300,0.204325
0,cka,0.9,0.556963,0.741183,0.704026
0,unbiased_cka,0.9,0.552899,0.740732,0.703707
0,cknna,0.9,0.260097,0.237838,0.103291
0,svcca,0.9,0.459903,0.663100,0.617644
0,edit_distance_knn,0.9,0.760260,0.760380,0.754813
0,cycle_knn,0.1,0.604300,0.760400,0.464121
0,mutual_knn,0.1,0.188730,0.225210,0.086520
0,lcs_knn,0.1,0.341700,0.396600,0.182045
0,cka,0.1,0.467439,0.692979,0.596308
0,unbiased_cka,0.1,0.462624,0.692490,0.595895
0,cknna,0.1,0.213282,0.223320,0.091906
0,svcca,0.1,0.419023,0.661347,0.584105
0,edit_distance_knn,0.1,0.758380,0.759460,0.754364
0,cycle_knn,0.6,0.637000,0.776300,0.536301
0,mutual_knn,0.6,0.209520,0.235890,0.110668
0,lcs_knn,0.6,0.374200,0.413200,0.226490
0,cka,0.6,0.509899,0.731237,0.729248
0,unbiased_cka,0.6,0.505430,0.730869,0.728967
0,cknna,0.6,0.230591,0.231644,0.117584
0,svcca,0.6,0.427493,0.661775,0.600171
0,edit_distance_knn,0.6,0.759640,0.760020,0.755151
0,cycle_knn,1.0,0.678900,0.759200,0.510564
0,mutual_knn,1.0,0.243920,0.228500,0.105943
0,lcs_knn,1.0,0.416200,0.400500,0.212162
0,cka,1.0,0.574569,0.797363,0.686258
0,unbiased_cka,1.0,0.570678,0.797021,0.685945
0,cknna,1.0,0.263836,0.221747,0.108808
0,svcca,1.0,0.452957,0.667430,0.636491
0,edit_distance_knn,1.0,0.760640,0.759610,0.754952
0,cycle_knn,0.4,0.625700,0.760400,0.457783
0,mutual_knn,0.4,0.202800,0.230840,0.085257
0,lcs_knn,0.4,0.350800,0.414300,0.181738
0,cka,0.4,0.490926,0.692713,0.610934
0,unbiased_cka,0.4,0.486290,0.692273,0.610517
0,cknna,0.4,0.222885,0.225169,0.092723
0,svcca,0.4,0.461898,0.657717,0.546783
0,edit_distance_knn,0.4,0.758810,0.760140,0.754110
0,cycle_knn,0.3,0.610300,0.758400,0.450100
0,mutual_knn,0.3,0.192040,0.220100,0.080559
0,lcs_knn,0.3,0.345800,0.391400,0.169599
0,cka,0.3,0.476034,0.704552,0.602226
0,unbiased_cka,0.3,0.471249,0.704101,0.601854
0,cknna,0.3,0.215106,0.216522,0.086536
0,svcca,0.3,0.415784,0.672655,0.569110
0,edit_distance_knn,0.3,0.758390,0.759290,0.754018
0,cycle_knn,0.5,0.650000,0.764600,0.485172
0,mutual_knn,0.5,0.207770,0.233290,0.095444
0,lcs_knn,0.5,0.361700,0.413000,0.198909
0,cka,0.5,0.503933,0.744262,0.686823
0,unbiased_cka,0.5,0.499378,0.743855,0.686519
0,cknna,0.5,0.229629,0.225659,0.099277
0,svcca,0.5,0.432986,0.633448,0.598148
0,edit_distance_knn,0.5,0.758690,0.759880,0.754410
0,cycle_knn,0.2,0.621800,0.728700,0.454786
0,mutual_knn,0.2,0.191480,0.202900,0.083747
0,lcs_knn,0.2,0.336300,0.362900,0.178972
0,cka,0.2,0.468642,0.661631,0.607374
0,unbiased_cka,0.2,0.463794,0.661131,0.606991
0,cknna,0.2,0.215546,0.195390,0.088135
0,svcca,0.2,0.409122,0.612237,0.534678
0,edit_distance_knn,0.2,0.758250,0.758510,0.754233
0,cycle_knn,0.8,0.667800,0.769400,0.504302
0,mutual_knn,0.8,0.224850,0.232300,0.101583
0,lcs_knn,0.8,0.384900,0.409000,0.207552
0,cka,0.8,0.536539,0.698245,0.735615
0,unbiased_cka,0.8,0.532271,0.697854,0.735357
0,cknna,0.8,0.247302,0.225779,0.103759
0,svcca,0.8,0.448215,0.643281,0.604606
0,edit_distance_knn,0.8,0.759230,0.760010,0.754617
1,cycle_knn,0.0,0.604100,0.748800,0.446604
1,mutual_knn,0.0,0.186110,0.219160,0.082352
1,lcs_knn,0.0,0.327500,0.376800,0.172250
1,cka,0.0,0.457739,0.668183,0.598821
1,unbiased_cka,0.0,0.452797,0.667776,0.598427
1,cknna,0.0,0.210027,0.212756,0.089354
1,svcca,0.0,0.431494,0.677192,0.562627
1,edit_distance_knn,0.0,0.757900,0.758990,0.753730
1,cycle_knn,0.7,0.666600,0.760200,0.470767
1,mutual_knn,0.7,0.219690,0.228560,0.091718
1,lcs_knn,0.7,0.385400,0.403100,0.193108
1,cka,0.7,0.525258,0.639169,0.632511
1,unbiased_cka,0.7,0.520883,0.638707,0.632128
1,cknna,0.7,0.245471,0.220762,0.093309
1,svcca,0.7,0.471142,0.636036,0.562933
1,edit_distance_knn,0.7,0.759780,0.759790,0.754471
1,cycle_knn,0.9,0.690300,0.788900,0.487054
1,mutual_knn,0.9,0.237180,0.254650,0.097453
1,lcs_knn,0.9,0.406800,0.437600,0.198640
1,cka,0.9,0.558321,0.730725,0.668016
1,unbiased_cka,0.9,0.554263,0.730349,0.667680
1,cknna,0.9,0.258411,0.248528,0.100381
1,svcca,0.9,0.479824,0.663234,0.569290
1,edit_distance_knn,0.9,0.760480,0.761330,0.754464
1,cycle_knn,0.1,0.616200,0.769100,0.451598
1,mutual_knn,0.1,0.188430,0.228610,0.083286
1,lcs_knn,0.1,0.338100,0.393800,0.177090
1,cka,0.1,0.467022,0.615308,0.627712
1,unbiased_cka,0.1,0.462152,0.614813,0.627371
1,cknna,0.1,0.214537,0.222774,0.090305
1,svcca,0.1,0.448814,0.653547,0.543108
1,edit_distance_knn,0.1,0.758480,0.759290,0.754003
1,cycle_knn,0.6,0.661400,0.742300,0.494392
1,mutual_knn,0.6,0.214500,0.223450,0.095682
1,lcs_knn,0.6,0.368300,0.403000,0.200292
1,cka,0.6,0.514353,0.692481,0.615754
1,unbiased_cka,0.6,0.509885,0.692073,0.615411
1,cknna,0.6,0.237408,0.217298,0.100425
1,svcca,0.6,0.452605,0.655725,0.567825
1,edit_distance_knn,0.6,0.758900,0.759590,0.754633
1,cycle_knn,1.0,0.693700,0.806200,0.551974
1,mutual_knn,1.0,0.251620,0.269070,0.117252
1,lcs_knn,1.0,0.432700,0.465900,0.239129
1,cka,1.0,0.578300,0.794942,0.693939
1,unbiased_cka,1.0,0.574422,0.794573,0.693612
1,cknna,1.0,0.274990,0.262128,0.120766
1,svcca,1.0,0.466442,0.681449,0.624240
1,edit_distance_knn,1.0,0.761220,0.762370,0.755470
1,cycle_knn,0.4,0.633200,0.750900,0.463122
1,mutual_knn,0.4,0.199360,0.221940,0.089494
1,lcs_knn,0.4,0.348400,0.387700,0.186079
1,cka,0.4,0.490169,0.657215,0.607819
1,unbiased_cka,0.4,0.485543,0.656730,0.607415
1,cknna,0.4,0.219130,0.217021,0.093617
1,svcca,0.4,0.414991,0.698728,0.573741
1,edit_distance_knn,0.4,0.758610,0.759210,0.754560
1,cycle_knn,0.3,0.620200,0.748500,0.464966
1,mutual_knn,0.3,0.195620,0.217160,0.086190
1,lcs_knn,0.3,0.342500,0.384900,0.185426
