seed,frac_overlap,model_idx,acc
0,0.8,1,0.8075
0,0.8,2,0.80475
0,0.0,1,-1
0,0.0,2,-1
0,0.6,1,0.8023333333333333
0,0.6,2,0.8206666666666667
0,1.0,1,0.81
0,1.0,2,0.8154
0,0.2,1,0.765
0,0.2,2,0.777
0,0.4,1,0.79
0,0.4,2,0.79
1,0.4,1,0.808
1,0.4,2,0.801
1,0.0,1,-1
1,0.0,2,-1
1,1.0,1,0.798
1,1.0,2,0.8006
1,0.2,1,0.83
1,0.2,2,0.793
1,0.6,1,0.7856666666666666
1,0.6,2,0.7906666666666666
1,0.8,1,0.78875
1,0.8,2,0.79775
2,0.4,1,0.8125
2,0.4,2,0.845
2,0.6,1,0.777
2,0.6,2,0.7936666666666666
2,0.8,1,0.79075
2,0.8,2,0.8005
2,0.0,1,-1
2,0.0,2,-1
2,1.0,1,0.7972
2,1.0,2,0.7972
2,0.2,1,0.826
2,0.2,2,0.825
3,0.4,1,0.8075
3,0.4,2,0.821
3,0.6,1,0.8016666666666666
3,0.6,2,0.8
3,0.8,1,0.7975
3,0.8,2,0.798
3,0.0,1,-1
3,0.0,2,-1
3,1.0,1,0.7994
3,1.0,2,0.7946
3,0.2,1,0.752
3,0.2,2,0.781
4,0.2,1,0.825
4,0.2,2,0.813
4,1.0,1,0.815
4,1.0,2,0.811
4,0.6,1,0.8323333333333334
4,0.6,2,0.8266666666666667
4,0.0,1,-1
4,0.0,2,-1
4,0.4,1,0.819
4,0.4,2,0.829
4,0.8,1,0.817
4,0.8,2,0.83725
5,0.2,1,0.775
5,0.2,2,0.765
5,1.0,1,0.8222
5,1.0,2,0.8216
5,0.6,1,0.8236666666666667
5,0.6,2,0.8163333333333334
5,0.0,1,-1
5,0.0,2,-1
5,0.4,1,0.824
5,0.4,2,0.8235
5,0.8,1,0.82125
5,0.8,2,0.81425
6,0.2,1,0.826
6,0.2,2,0.855
6,0.0,1,-1
6,0.0,2,-1
6,0.8,1,0.81225
6,0.8,2,0.81325
6,0.6,1,0.825
6,0.6,2,0.8236666666666667
6,0.4,1,0.8215
6,0.4,2,0.8185
6,1.0,1,0.8136
6,1.0,2,0.814
7,0.2,1,0.818
7,0.2,2,0.818
7,0.0,1,-1
7,0.0,2,-1
7,0.8,1,0.807
7,0.8,2,0.8115
7,0.6,1,0.8103333333333333
7,0.6,2,0.7996666666666666
7,0.4,1,0.8155
7,0.4,2,0.811
7,1.0,1,0.803
7,1.0,2,0.8076
8,0.8,1,0.78775
8,0.8,2,0.7935
8,0.0,1,-1
8,0.0,2,-1
8,0.6,1,0.7986666666666666
8,0.6,2,0.7843333333333333
8,1.0,1,0.7972
8,1.0,2,0.8046
8,0.4,1,0.7895
8,0.4,2,0.792
8,0.2,1,0.807
8,0.2,2,0.79
9,0.8,1,0.8185
9,0.8,2,0.81725
9,0.4,1,0.815
9,0.4,2,0.803
9,0.0,1,-1
9,0.0,2,-1
9,0.2,1,0.827
9,0.2,2,0.815
9,1.0,1,0.809
9,1.0,2,0.7986
9,0.6,1,0.812
9,0.6,2,0.8186666666666667
