seed,metric,frac_overlap,metric_overlap,metric_ood_one,metric_ood_all_mnist,metric_ood_all_svhn
0,cycle_knn,0.8,0.769750,0.675000,0.746600,0.600684
0,mutual_knn,0.8,0.259175,0.168850,0.218880,0.133405
0,lcs_knn,0.8,0.427250,0.293000,0.358800,0.261255
0,cka,0.8,0.602277,0.503274,0.749886,0.718522
0,unbiased_cka,0.8,0.593467,0.484456,0.749364,0.718249
0,cknna,0.8,0.277398,0.176341,0.211783,0.137077
0,svcca,0.8,0.546928,0.482072,0.635217,0.634365
0,edit_distance_knn,0.8,0.761300,0.756250,0.757870,0.755973
0,cycle_knn,0.6,0.748333,0.608500,0.726000,0.584703
0,mutual_knn,0.6,0.248067,0.135500,0.208640,0.125181
0,lcs_knn,0.6,0.416333,0.242250,0.337300,0.247196
0,cka,0.6,0.602766,0.472395,0.709716,0.658100
0,unbiased_cka,0.6,0.591877,0.462146,0.709153,0.657804
0,cknna,0.6,0.257519,0.143470,0.205476,0.126341
0,svcca,0.6,0.551269,0.480142,0.622307,0.660281
0,edit_distance_knn,0.6,0.760700,0.754275,0.757770,0.755470
0,cycle_knn,0.4,0.778500,0.538833,0.724200,0.562730
0,mutual_knn,0.4,0.253700,0.106617,0.204240,0.117820
0,lcs_knn,0.4,0.422000,0.202833,0.330300,0.233866
0,cka,0.4,0.591366,0.448275,0.688367,0.653896
0,unbiased_cka,0.4,0.575614,0.441151,0.687906,0.653559
0,cknna,0.4,0.265744,0.111322,0.200739,0.123878
0,svcca,0.4,0.566999,0.465230,0.627006,0.633153
0,edit_distance_knn,0.4,0.760800,0.753550,0.757350,0.755293
0,cycle_knn,0.0,-1.000000,0.440000,0.683600,0.498924
0,mutual_knn,0.0,-1.000000,0.077780,0.177680,0.092325
0,lcs_knn,0.0,-1.000000,0.155800,0.296400,0.192417
0,cka,0.0,-1.000000,0.392737,0.603660,0.538916
0,unbiased_cka,0.0,-1.000000,0.387752,0.603185,0.538560
0,cknna,0.0,-1.000000,0.080267,0.170808,0.097703
