seed,metric,frac_overlap,metric_overlap,metric_ood_one,metric_ood_all_mnist,metric_ood_all_svhn
0,cycle_knn,0.8,0.716000,0.583000,0.621300,0.374347
0,mutual_knn,0.8,0.249450,0.142800,0.143670,0.063576
0,lcs_knn,0.8,0.430750,0.276500,0.250100,0.140212
0,cka,0.8,0.665454,0.445474,0.722362,0.545440
0,unbiased_cka,0.8,0.660650,0.435968,0.722104,0.545060
0,cknna,0.8,0.238360,0.135100,0.135349,0.063447
0,svcca,0.8,0.484382,0.502790,0.586474,0.546092
0,edit_distance_knn,0.8,0.760325,0.755300,0.754920,0.752912
0,cycle_knn,0.0,-1.000000,0.330400,0.582300,0.244814
0,mutual_knn,0.0,-1.000000,0.058120,0.123500,0.035564
0,lcs_knn,0.0,-1.000000,0.121200,0.213600,0.080055
0,cka,0.0,-1.000000,0.279680,0.472828,0.374950
0,unbiased_cka,0.0,-1.000000,0.275834,0.472251,0.374480
0,cknna,0.0,-1.000000,0.061326,0.120378,0.037998
0,svcca,0.0,-1.000000,0.333575,0.492547,0.478927
0,edit_distance_knn,0.0,-1.000000,0.751990,0.753620,0.751713
0,cycle_knn,0.6,0.707333,0.456250,0.660000,0.309619
0,mutual_knn,0.6,0.240533,0.098300,0.156100,0.049497
0,lcs_knn,0.6,0.414667,0.194000,0.266900,0.111094
0,cka,0.6,0.683361,0.358319,0.666341,0.450820
0,unbiased_cka,0.6,0.678048,0.351327,0.665979,0.450412
0,cknna,0.6,0.228753,0.103022,0.145331,0.048740
0,svcca,0.6,0.540429,0.418000,0.607614,0.534342
0,edit_distance_knn,0.6,0.758400,0.753675,0.754830,0.752309
0,cycle_knn,1.0,0.736800,-1.000000,0.677000,0.449255
0,mutual_knn,1.0,0.278440,-1.000000,0.171710,0.086962
0,lcs_knn,1.0,0.470200,-1.000000,0.287100,0.182199
0,cka,1.0,0.675211,-1.000000,0.716391,0.625109
0,unbiased_cka,1.0,0.671071,-1.000000,0.716031,0.624757
0,cknna,1.0,0.265066,-1.000000,0.163126,0.087258
0,svcca,1.0,0.474225,-1.000000,0.650445,0.632710
0,edit_distance_knn,1.0,0.762260,-1.000000,0.755730,0.753730
0,cycle_knn,0.2,0.687000,0.367000,0.577500,0.301859
0,mutual_knn,0.2,0.211900,0.068987,0.125250,0.046136
0,lcs_knn,0.2,0.370000,0.142625,0.222200,0.103181
0,cka,0.2,0.745483,0.303353,0.400291,0.490300
0,unbiased_cka,0.2,0.738938,0.298808,0.399721,0.489906
0,cknna,0.2,0.198806,0.070393,0.121741,0.049264
0,svcca,0.2,0.843109,0.375076,0.537134,0.481896
0,edit_distance_knn,0.2,0.756800,0.752387,0.753970,0.752040
0,cycle_knn,0.4,0.672000,0.403000,0.584800,0.311540
0,mutual_knn,0.4,0.215000,0.080117,0.125960,0.048045
0,lcs_knn,0.4,0.371000,0.159167,0.222700,0.107906
0,cka,0.4,0.695212,0.316582,0.446793,0.448712
0,unbiased_cka,0.4,0.689074,0.311129,0.446161,0.448344
0,cknna,0.4,0.213472,0.081127,0.117143,0.049445
0,svcca,0.4,0.644453,0.371544,0.526926,0.489392
0,edit_distance_knn,0.4,0.757800,0.752983,0.753670,0.752036
1,cycle_knn,0.4,0.663500,0.416833,0.596300,0.301706
