seed,metric,frac_overlap,metric_overlap,metric_ood_all_mnist,metric_ood_all_svhn
0,cycle_knn,0.7,0.760400,0.795400,0.666065
0,mutual_knn,0.7,0.218050,0.258430,0.167221
0,lcs_knn,0.7,0.383900,0.446900,0.321950
0,cka,0.7,0.569526,0.692256,0.748126
0,unbiased_cka,0.7,0.564523,0.691684,0.747866
0,cknna,0.7,0.234683,0.250241,0.169281
0,svcca,0.7,0.585657,0.725921,0.714891
0,edit_distance_knn,0.7,0.759610,0.761380,0.757933
0,cycle_knn,0.2,0.708700,0.783600,0.651736
0,mutual_knn,0.2,0.192040,0.245420,0.152693
0,lcs_knn,0.2,0.345300,0.430000,0.298709
0,cka,0.2,0.519629,0.771909,0.707731
0,unbiased_cka,0.2,0.514135,0.771545,0.707416
0,cknna,0.2,0.205541,0.239020,0.160096
0,svcca,0.2,0.514627,0.669418,0.652989
0,edit_distance_knn,0.2,0.758140,0.761090,0.757575
0,cycle_knn,0.9,0.790100,0.801100,0.684965
0,mutual_knn,0.9,0.237480,0.263380,0.169733
0,lcs_knn,0.9,0.422400,0.461700,0.330017
0,cka,0.9,0.599871,0.649809,0.766592
0,unbiased_cka,0.9,0.595227,0.649391,0.766328
0,cknna,0.9,0.253458,0.257192,0.172595
0,svcca,0.9,0.565493,0.711225,0.702474
0,edit_distance_knn,0.9,0.761040,0.761960,0.758363
0,cycle_knn,0.5,0.748500,0.767700,0.665565
0,mutual_knn,0.5,0.207510,0.232600,0.158716
0,lcs_knn,0.5,0.378500,0.411200,0.303511
0,cka,0.5,0.550011,0.697108,0.736396
0,unbiased_cka,0.5,0.544856,0.696508,0.736115
0,cknna,0.5,0.222104,0.222314,0.160358
0,svcca,0.5,0.554613,0.684255,0.706129
0,edit_distance_knn,0.5,0.759290,0.759890,0.757422
0,cycle_knn,0.0,0.696600,0.779000,0.645206
0,mutual_knn,0.0,0.180280,0.240150,0.147069
0,lcs_knn,0.0,0.332800,0.411200,0.286647
0,cka,0.0,0.499904,0.785737,0.618572
0,unbiased_cka,0.0,0.494173,0.785440,0.618219
0,cknna,0.0,0.194480,0.229878,0.153501
0,svcca,0.0,0.493852,0.624405,0.683412
0,edit_distance_knn,0.0,0.757810,0.760180,0.757299
0,cycle_knn,0.1,0.708400,0.794500,0.650200
0,mutual_knn,0.1,0.190080,0.255220,0.155443
0,lcs_knn,0.1,0.338300,0.444000,0.302320
0,cka,0.1,0.516493,0.775852,0.670393
0,unbiased_cka,0.1,0.510984,0.775372,0.670077
0,cknna,0.1,0.206749,0.248185,0.161268
0,svcca,0.1,0.526779,0.645265,0.639454
0,edit_distance_knn,0.1,0.757840,0.761340,0.757717
0,cycle_knn,0.3,0.717800,0.786000,0.665527
0,mutual_knn,0.3,0.195410,0.250220,0.158478
0,lcs_knn,0.3,0.353700,0.433700,0.305163
0,cka,0.3,0.528658,0.757050,0.758985
0,unbiased_cka,0.3,0.523261,0.756697,0.758731
0,cknna,0.3,0.209571,0.241747,0.161957
0,svcca,0.3,0.518423,0.677149,0.666867
0,edit_distance_knn,0.3,0.758400,0.761240,0.757518
0,cycle_knn,0.6,0.759200,0.781800,0.674093
0,mutual_knn,0.6,0.214490,0.239330,0.165973
0,lcs_knn,0.6,0.378900,0.418800,0.316726
0,cka,0.6,0.561802,0.687979,0.722567
0,unbiased_cka,0.6,0.556778,0.687580,0.722248
0,cknna,0.6,0.226996,0.231145,0.169926
0,svcca,0.6,0.552070,0.696571,0.689661
0,edit_distance_knn,0.6,0.759310,0.760780,0.758079
0,cycle_knn,1.0,0.811400,0.804200,0.695682
0,mutual_knn,1.0,0.251090,0.264180,0.178868
0,lcs_knn,1.0,0.442300,0.455800,0.332322
0,cka,1.0,0.625655,0.728352,0.756043
0,unbiased_cka,1.0,0.621361,0.727825,0.755704
0,cknna,1.0,0.263680,0.256035,0.181670
0,svcca,1.0,0.577555,0.686608,0.726587
0,edit_distance_knn,1.0,0.761870,0.762200,0.758347
0,cycle_knn,0.4,0.718700,0.782600,0.658651
0,mutual_knn,0.4,0.197640,0.243410,0.158424
0,lcs_knn,0.4,0.348000,0.434900,0.306507
0,cka,0.4,0.532322,0.777286,0.772492
0,unbiased_cka,0.4,0.526911,0.776956,0.772178
0,cknna,0.4,0.212129,0.235846,0.161789
0,svcca,0.4,0.529073,0.698692,0.686129
0,edit_distance_knn,0.4,0.758560,0.761060,0.757491
0,cycle_knn,0.8,0.767000,0.809500,0.688845
0,mutual_knn,0.8,0.230210,0.273760,0.173367
0,lcs_knn,0.8,0.402800,0.469600,0.333666
0,cka,0.8,0.587782,0.779904,0.721823
0,unbiased_cka,0.8,0.583023,0.779504,0.721497
0,cknna,0.8,0.248275,0.268660,0.177934
0,svcca,0.8,0.588760,0.684291,0.693520
0,edit_distance_knn,0.8,0.760140,0.762470,0.758689
1,cycle_knn,0.1,0.715300,0.780000,0.646320
1,mutual_knn,0.1,0.188040,0.237220,0.149992
1,lcs_knn,0.1,0.341600,0.414500,0.290719
1,cka,0.1,0.508896,0.773893,0.709377
1,unbiased_cka,0.1,0.503264,0.773252,0.709063
1,cknna,0.1,0.197599,0.227751,0.156104
1,svcca,0.1,0.524280,0.669676,0.641366
1,edit_distance_knn,0.1,0.758250,0.760000,0.757341
1,cycle_knn,0.4,0.733400,0.779900,0.659381
1,mutual_knn,0.4,0.201520,0.243580,0.152708
1,lcs_knn,0.4,0.355900,0.430600,0.298325
1,cka,0.4,0.534431,0.848578,0.710664
1,unbiased_cka,0.4,0.529045,0.848165,0.710407
1,cknna,0.4,0.215782,0.233828,0.157113
1,svcca,0.4,0.541988,0.694624,0.675503
1,edit_distance_knn,0.4,0.758290,0.761230,0.757183
1,cycle_knn,0.6,0.758600,0.765100,0.643977
1,mutual_knn,0.6,0.213800,0.241730,0.152943
1,lcs_knn,0.6,0.378700,0.419400,0.298056
1,cka,0.6,0.552600,0.770059,0.742573
1,unbiased_cka,0.6,0.547370,0.769591,0.742312
1,cknna,0.6,0.231182,0.233566,0.156659
1,svcca,0.6,0.535041,0.693873,0.652473
1,edit_distance_knn,0.6,0.759090,0.760270,0.757295
1,cycle_knn,0.7,0.762200,0.792600,0.686040
1,mutual_knn,0.7,0.220800,0.249850,0.168988
1,lcs_knn,0.7,0.388400,0.428900,0.325023
1,cka,0.7,0.566986,0.737625,0.717743
1,unbiased_cka,0.7,0.561951,0.737169,0.717438
1,cknna,0.7,0.239544,0.247583,0.173984
1,svcca,0.7,0.572361,0.658122,0.685063
1,edit_distance_knn,0.7,0.759910,0.760160,0.758221
1,cycle_knn,0.5,0.744000,0.793100,0.650814
1,mutual_knn,0.5,0.204380,0.255310,0.155651
1,lcs_knn,0.5,0.355300,0.435500,0.300207
1,cka,0.5,0.546265,0.784221,0.712196
1,unbiased_cka,0.5,0.541021,0.783853,0.711879
1,cknna,0.5,0.220980,0.246837,0.158977
1,svcca,0.5,0.551448,0.689283,0.667404
